epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
12,177.887,1.11766,0.82412,1.22994,0.80447,0.63001,0.76627,0.53768,1.0732,1.1628,1.24566,0.000506667,0.000506667,0.000506667
13,191.205,1.05626,0.76179,1.19869,0.79955,0.71442,0.81241,0.54529,1.06952,0.99379,1.2463,0.00048,0.00048,0.00048
14,204.502,1.0613,0.77095,1.19924,0.7546,0.76903,0.82301,0.57846,1.02779,1.09359,1.2287,0.000453334,0.000453334,0.000453334
15,217.811,1.04052,0.73781,1.19231,0.75095,0.75496,0.80761,0.5889,0.97411,0.95174,1.20037,0.000426667,0.000426667,0.000426667
16,231.121,1.00625,0.6969,1.1699,0.84181,0.74443,0.81664,0.57831,1.03344,0.88173,1.21657,0.0004,0.0004,0.0004
17,244.328,0.99588,0.69335,1.1749,0.82417,0.73317,0.79715,0.58922,0.96284,0.95883,1.16924,0.000373334,0.000373334,0.000373334
18,257.584,0.94757,0.64847,1.14333,0.85131,0.72415,0.8273,0.59856,1.05822,1.04623,1.21575,0.000346667,0.000346667,0.000346667
19,270.83,0.96569,0.65558,1.14761,0.89291,0.72428,0.81178,0.58405,0.99091,0.9846,1.19298,0.00032,0.00032,0.00032
20,284.085,0.94989,0.63334,1.14789,0.86466,0.7099,0.81555,0.60408,0.927,0.93151,1.17416,0.000293334,0.000293334,0.000293334
21,328.237,0.83999,0.51679,1.07247,0.81587,0.72537,0.76995,0.53694,0.98831,1.03172,1.25358,0.000266667,0.000266667,0.000266667
22,341.42,0.8038,0.47971,1.05125,0.82417,0.77571,0.81061,0.60296,0.9234,0.82174,1.18566,0.000240001,0.000240001,0.000240001
23,354.859,0.77247,0.46319,1.03153,0.85275,0.74854,0.81352,0.60914,0.90116,0.79232,1.18387,0.000213334,0.000213334,0.000213334
24,368.505,0.75393,0.44845,1.01261,0.8452,0.74173,0.8337,0.62524,0.9004,0.80308,1.20442,0.000186667,0.000186667,0.000186667
25,381.942,0.7372,0.42083,1.00688,0.87561,0.7878,0.86111,0.62659,0.93938,0.76005,1.20078,0.000160001,0.000160001,0.000160001
26,395.511,0.71711,0.40866,1.00017,0.87873,0.76236,0.84715,0.64297,0.9126,0.80341,1.20277,0.000133334,0.000133334,0.000133334
27,408.811,0.69397,0.39668,0.99099,0.8162,0.77733,0.84336,0.65002,0.85832,0.77371,1.16655,0.000106667,0.000106667,0.000106667
28,422.246,0.67704,0.3758,0.97438,0.8267,0.76554,0.85167,0.65945,0.89396,0.80224,1.1843,8.00007e-05,8.00007e-05,8.00007e-05
29,436.034,0.65771,0.37043,0.96647,0.91623,0.71688,0.85172,0.65926,0.87298,0.76824,1.17727,5.33341e-05,5.33341e-05,5.33341e-05
30,449.928,0.65792,0.37001,0.9669,0.91617,0.71718,0.85109,0.65406,0.87052,0.77708,1.1813,2.66674e-05,2.66674e-05,2.66674e-05
1,18.7327,1.3934,1.8963,1.40372,0.71377,0.40046,0.40231,0.22922,1.72173,2.55309,1.58166,0.0676681,0.000260741,0.000260741
2,32.1938,1.38163,1.27326,1.39712,0.67951,0.61461,0.67337,0.39798,1.49858,1.50394,1.44471,0.0345994,0.000525298,0.000525298
3,45.9653,1.37246,1.18194,1.40492,0.74486,0.69706,0.7708,0.45004,1.50804,1.43756,1.48671,0.00152846,0.000787721,0.000787721
4,61.0816,1.33975,1.16626,1.3891,0.43237,0.60977,0.49358,0.2799,1.54144,1.95925,1.4024,0.0007904,0.0007904,0.0007904
5,74.5404,1.32296,1.14929,1.36653,0.59371,0.69195,0.72259,0.43287,1.57694,1.57301,1.53237,0.0007872,0.0007872,0.0007872
6,87.8863,1.29978,1.03632,1.34417,0.611,0.71235,0.67956,0.4285,1.29699,1.46477,1.40708,0.000784,0.000784,0.000784
7,101.175,1.30167,1.06828,1.36359,0.58497,0.66608,0.58859,0.3577,1.41998,1.55952,1.43685,0.0007808,0.0007808,0.0007808
8,114.435,1.2844,0.99005,1.34219,0.67958,0.68032,0.6304,0.41886,1.40088,1.48653,1.37563,0.0007776,0.0007776,0.0007776
9,128.771,1.25541,0.94396,1.31786,0.7172,0.67136,0.71943,0.45195,1.40725,1.31382,1.39201,0.0007744,0.0007744,0.0007744
10,142.409,1.24273,0.9134,1.31969,0.71396,0.50533,0.53402,0.32681,1.51944,1.9026,1.49601,0.0007712,0.0007712,0.0007712
